rcept_dt,corp_cls,corp_name,stock_code,report_nm,rcept_no,flr_nm
20251203,Y,유안타증권,003470,투자설명서(일괄신고),20251203000125,유안타증권
20251203,E,메리츠증권,008560,투자설명서(일괄신고),20251203000124,메리츠증권
20251203,Y,이수스페셜티케미컬,457190,기업설명회(IR)개최(안내공시)              ,20251203800185,이수스페셜티케미컬
20251203,Y,금호건설,002990,[기재정정]단일판매ㆍ공급계약체결              ,20251203800183,금호건설
20251203,K,우진엔텍,457550,주식등의대량보유상황보고서(일반),20251203000123,우진
20251203,E,메리츠증권,008560,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000122,메리츠증권
20251203,E,한국투자증권,,일괄신고추가서류(파생결합증권-주가연계증권),20251203000121,한국투자증권
20251203,Y,한국주철관공업,000970,임원ㆍ주요주주특정증권등소유상황보고서,20251203000120,마천캐스트
20251203,Y,교보증권,030610,투자설명서(일괄신고),20251203000119,교보증권
20251203,Y,교보증권,030610,투자설명서(일괄신고),20251203000118,교보증권
20251203,Y,한화투자증권,003530,투자설명서(일괄신고),20251203000117,한화투자증권
20251203,E,아이비케이투자증권,,투자설명서(일괄신고),20251203000116,아이비케이투자증권
20251203,Y,미래에셋증권,006800,투자설명서(일괄신고),20251203000115,미래에셋증권
20251203,Y,유안타증권,003470,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000114,유안타증권
20251203,E,케이비증권,003450,투자설명서(일괄신고),20251203000113,케이비증권
20251203,Y,키움증권,039490,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000112,키움증권
20251203,E,BNK투자증권,,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000111,BNK투자증권
20251203,E,메리츠증권,008560,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000109,메리츠증권
20251203,E,BNK투자증권,,일괄신고추가서류(기타파생결합사채),20251203000108,BNK투자증권
20251203,Y,미래에셋증권,006800,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000106,미래에셋증권
20251203,Y,교보증권,030610,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000105,교보증권
20251203,Y,키움증권,039490,일괄신고추가서류(기타파생결합사채),20251203000104,키움증권
20251203,E,메리츠증권,008560,일괄신고추가서류(기타파생결합사채),20251203000103,메리츠증권
20251203,E,메리츠증권,008560,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000101,메리츠증권
20251203,E,신한투자증권,008670,투자설명서(일괄신고),20251203000100,신한투자증권
20251203,Y,DB증권,016610,투자설명서(일괄신고),20251203000099,DB증권
20251203,E,케이비증권,003450,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000098,케이비증권
20251203,E,아이비케이투자증권,,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000097,아이비케이투자증권
20251203,E,하나증권,,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000096,하나증권
20251203,Y,교보증권,030610,일괄신고추가서류(파생결합증권-주가연계증권),20251203000095,교보증권
20251203,Y,유진증권,001200,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000094,유진증권
20251203,Y,한전KPS,051600,기업설명회(IR)개최(안내공시)              ,20251203800187,한전KPS
20251203,Y,한화투자증권,003530,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000093,한화투자증권
20251203,K,차바이오텍,085660,주주명부폐쇄기간또는기준일설정              ,20251203900184,차바이오텍
20251203,K,차바이오텍,085660,주주총회소집결의              (임시주주총회),20251203900174,차바이오텍
20251203,Y,교보증권,030610,투자설명서(일괄신고),20251203000092,교보증권
20251203,E,신한투자증권,008670,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000091,신한투자증권
20251203,Y,교보증권,030610,투자설명서(일괄신고),20251203000090,교보증권
20251203,Y,DB증권,016610,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000089,DB증권
20251203,K,아이큐어,175250,소송등의제기ㆍ신청(경영권분쟁소송)              (주주명부열람등사가처분신청),20251203900170,아이큐어
20251203,K,유바이오로직스,206650,임원ㆍ주요주주특정증권등소유상황보고서,20251203000088,태영진
20251203,Y,삼성증권,016360,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000087,삼성증권
20251203,Y,교보증권,030610,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000086,교보증권
20251203,Y,교보증권,030610,일괄신고추가서류(파생결합증권-주가연계증권),20251203000085,교보증권
20251203,K,하이텍팜,106190,임원ㆍ주요주주특정증권등소유상황보고서,20251203000084,박진용
20251203,E,KB자산운용,,투자설명서(집합투자증권)(KBRISE동학개미증권상장지수투자신탁(주식)),20251203000005,KB자산운용
20251203,Y,한화손해보험,000370,최대주주등소유주식변동신고서              ,20251203800168,한화손해보험
20251203,K,AP위성,211270,[기재정정]단일판매ㆍ공급계약체결              ,20251203900153,AP위성
