섹터,소분류1,소분류2,소분류3,기업 
자재,배관재,,,"TKG애강, 프럼파스트, 뉴보텍, 셀루메드"
자재,시멘트,,,"한일시멘트, 아세아시멘트, 삼표시멘트, 한일현대시멘트, 성신양회, 강동씨앤엘, 유니온"
자재,레미콘,,,"유진기업, 동양, 보광산업, 부산산업, 모헨즈"
자재,PC,,,"삼일씨엔에스, 동양파일, 까큐이앤씨, 서산, 티웨이홀딩스"
자재,데크플레이트,,,"덕신이피씨, 제일테크노스, 윈하이텍, 다스코, 에스와이스틸텍"
철강,종합,,,"POSCO홀딩스, 현대제철"
철강,원재료,석회,,태경비케이
철강,원재료,철스크랩,,한국주강
철강,원재료,내화물,,"조선내화, 한국내화, 동국알앤에스"
철강,첨가제,합금철,,"SIMPAC, 태경산업"
철강,첨가제,탈산제,,"피제이메탈, 포스코엠텍"
철강,제품,포장,,"엠투엔, 승일, 태양, 대륙제관"
철강,제품,철근,,"한국철강, 대한제강"
철강,제품,특수강,,"세아베스틸지주, 원일특강, 광진실업"
철강,제품,봉형강,,"동국제강, NI스틸, 동일산업, 한국특강, 화인베스틸, 동일제강, 동일철강"
철강,제품,판재,강판,"KG스틸, KG에코솔루션, TCC스틸, 신스틸, SHD, 아주스틸, 포스코스틸리온, 디씨엠, 동국산업, 동국씨엠"
철강,제품,판재,스테인리스,"현대비앤지스틸, 황금에스티, 대양금속, 티플랙스, 유에스티, 쎄니트, 이렘"
철강,제품,강관,,"세아제강, 휴스틸, 한국주철관, 동양철관, 하이스틸, 넥스틸, 율촌"
철강,제품,선재,,"고려제강, 조선선재, 세아특수강, 대호특수강, 만호제강, 한국선재, 영흥, DSR제강, 제이스코홀딩스"
철강,유통,,,"금강철강, 한일철강, 경남스틸, 삼현철강, 문배철강, 부국철강, 대창스틸, 대동스틸, 동양에스텍, 더라미"
비철금속,금,,,아이티센
비철금속,아연,,,"고려아연, 영풍, 한일화학, 한창산업"
비철금속,동력 전달 장치,,,"풍산, 대창, 이구산업, 국일신동, 바이오스마트, KBI메탈, 에이치브이엠, 서원"
비철금속,알루미늄,,,"삼아알미늄, 조일알미늄, 알루코, 세아메카닉스, 그린플러스, 대호에이엘, 삼보산업, 파버나인, 케이피티유"
비철금속,공업용 다이아몬드,,,일진다이아 
은행,시중은행,,,"KB금융, 신한지주, 하나금융지주, 우리금융지주, 기업은행, 카카오뱅크"
은행,지방은행,,,"JB금융지주, BNK금융지주, DGB금융지주, 제주은행"
은행,저축은행,,,"푸른저축은행, 상상인"
증권,,,,"메리츠금융지주, 미래에셋증권, NH투자증권, 한국금융지주, 삼성증권, 키움증권, 신영증권, 대신증권, 한화투자증권, 교보증권, 유안타증권, 유진투자증권, 부국증권, 현대차증권, LS증권, SK증권, DB금융투자, 다올투자증권, 한양증군, 유화증권, 상상인증권, 코리아에셋투자증권"
보험,생명보험,,,"삼성생명, 한화생명, 미래에셋생명, 동양생명"
보험,손해보험,,,"삼성화재, DB손해보험, 현대해상, 롯데손해보험, 한화손해보험, 흥국화재"
보험,재보험,,,코리안리
보험,대리점,,,"에이플러스에셋, 인카금융서비스"
부동산,리츠,위탁관리형,,"SK리츠, ESR켄달스퀘어리츠, 롯데리츠, 제이알글로벌리츠, 신한알파리츠, KB스타리츠, 코람코라이프인프라리츠, 삼성FN리츠, 한화리츠, 이지스밸류리츠, 디앤디플랫폼리츠, 코람코더원리츠, NH올원리츠, 이지스레지던스리츠, 신한글로벌액티브리츠, NH프라임리츠, 미래에셋맵스리츠, 마스턴프리미어리츠"
부동산,리츠,자기관리형,,"케이탑리츠, 스타에스엠리츠, 신한서브티엔디리츠, 미래에셋글로벌리츠"
부동산,리츠,기업 구조조정형,,이리츠코크렙
부동산,신탁,,,"한국토지신탁, 한국자산신탁"
부동산,개발임대,,,"SK디앤디, SK이터닉스, 이스타코, 신라섬유"
