stock_code,gcn_emb_0,gcn_emb_1,gcn_emb_2,gcn_emb_3,gcn_emb_4,gcn_emb_5,gcn_emb_6,gcn_emb_7,gcn_emb_8,gcn_emb_9,gcn_emb_10,gcn_emb_11,gcn_emb_12,gcn_emb_13,gcn_emb_14,gcn_emb_15
003960,0.35748687,0.020996531,-0.009950039,-0.31915015,0.2693835,0.17862579,-0.12579142,0.14217277,0.1292466,-0.21540885,0.13559817,-0.47641033,0.29133227,-0.028887125,-0.47877023,0.07685193
004020,0.1456342,-0.06832576,0.2247254,-0.12982291,-0.26156104,-0.21516712,0.44636884,-0.28493416,0.121196724,-0.0890417,0.44425902,-0.38238367,-0.051679168,-0.20318824,-0.25123504,0.19582528
004080,-0.019808253,-0.22743298,0.2959051,0.059071578,-0.19830327,-0.061186,0.46399054,-0.29174367,0.24951893,-0.14278574,0.5242394,-0.22481686,0.03316462,-0.08318378,-0.13932788,0.27913147
004100,-0.094768226,0.16110165,-0.19841984,0.114174835,0.02440046,-0.0789918,-0.39578405,0.016498603,-0.2806863,0.2901996,-0.44963095,0.39806208,-0.13954292,0.04441726,0.36274588,-0.26880273
004140,-0.027186945,-0.088218994,-0.12646164,0.004951493,0.22453384,0.092506506,-0.62595576,-0.35463613,-0.08961926,0.09464519,-0.49097282,0.123065315,0.00017670073,-0.2080097,0.1408125,-0.25023192
004170,-0.16054207,-0.29179916,0.2967549,0.18858132,-0.15373923,0.010903579,0.42296627,-0.24494182,0.32318693,-0.12108196,0.51559114,-0.056165602,0.07082813,0.03839914,-0.027628139,0.32779205
004250,0.24875504,0.3766901,-0.33971107,-0.18253475,0.07603249,-0.037212808,-0.23729634,0.33544523,-0.3716825,0.13602929,-0.4295273,0.09012509,-0.15892562,0.14857405,0.090306304,-0.25835875
004270,-0.2751399,-0.1374308,0.14661483,0.47972924,-0.051940035,0.099207275,-0.08265055,-0.3112181,0.013393242,0.18508811,0.096632846,0.51635134,0.057197087,0.10783486,0.4430521,0.12632687
004360,0.25054985,0.34282777,-0.31206593,-0.26145345,0.11780846,-0.021024441,-0.0029812476,0.4175242,-0.24519652,0.1480994,-0.38774094,0.0033642405,-0.17362922,0.3604229,-0.010576124,-0.26967013
004370,-0.13222852,-0.3323528,0.29933354,0.25328958,-0.15393172,0.063147604,0.3817884,-0.2923311,0.27579582,-0.16938981,0.5134442,0.013181979,0.08988978,0.003624153,0.030899081,0.28599927
004380,0.19730373,0.32812685,-0.31181318,-0.19779119,0.008200569,-0.2005509,-0.20250125,0.100697726,-0.3624262,0.23088826,-0.5012634,0.075216055,-0.26827008,0.07418793,0.13515808,-0.29714575
004490,0.04658142,0.29960293,-0.29428756,-0.0668729,0.06357596,-0.08185264,-0.23928066,0.23009045,-0.30047542,0.27848178,-0.49749008,0.24926654,-0.19583015,0.20679267,0.22740477,-0.2928465
004540,-0.10509374,-0.11178293,-0.06849545,0.07172755,0.19389032,0.088715255,-0.6349119,-0.28782445,-0.11723075,0.12108717,-0.4627529,0.19414817,0.009617003,-0.21486978,0.1852453,-0.27274022
004690,-0.17087166,0.09128993,-0.036922693,0.21825467,-0.24715161,-0.26114172,-0.1479092,-0.1610431,-0.32577848,0.32840574,-0.1780118,0.43833685,-0.22003707,-0.13801347,0.4123989,-0.24704932
004710,0.19503692,0.12419436,-0.17472947,-0.17907493,0.13405463,-0.04747758,-0.5361073,-0.09194904,-0.34485814,0.11578266,-0.49128553,-0.03887533,-0.087926656,-0.27775872,0.035587035,-0.3263355
004770,-0.1255004,0.08798658,-0.09303188,0.23636603,0.07931194,0.083046146,-0.51282036,-0.015702795,-0.25183165,0.22292972,-0.39161924,0.42516506,-0.008540466,-0.04935906,0.37521622,-0.21218306
