prdy_ctrt,price_change_1,price_change_5,price_change_10,price_vs_ma5,price_vs_ma20,tr_amount_change,spread,spread_pct,buy_pressure,buy_strength,volatility_5,volatility_10,momentum_5,momentum_10,RSI_3,SMA_3,SMA_5,Disparity_5,ATR_3,Vol_Ratio,stock_code,gcn_emb_0,gcn_emb_1,gcn_emb_2,gcn_emb_3,gcn_emb_4,gcn_emb_5,gcn_emb_6,gcn_emb_7,gcn_emb_8,gcn_emb_9,gcn_emb_10,gcn_emb_11,gcn_emb_12,gcn_emb_13,gcn_emb_14,gcn_emb_15,sentiment_score,ai_score
1.35,0.0,0.0,0.0,0.0,7.15700073955606e-05,8.098149572921542e-06,0.0009541984732823517,0.09541984732823518,0.28388784622306373,0.6677464977915609,0.0,0.00022496041916721964,0.0,0.0,79.77332170880558,99833.33333333333,98980.0,1.0456657910688922,5140.740740740741,0.7910829575106544,005930,-0.21125253,0.34513572,0.03337257,-0.32349953,-0.016700478,0.15646419,0.16038701,0.007832148,0.49969193,0.022683518,-0.09373907,-0.07752327,-0.36844656,-0.2914146,0.43995374,0.026548497,0.5862,75.36
-0.49,0.0,0.0016501650165017256,0.0016501650165017256,0.0004944783253667218,0.0009481799068309866,1.062732955681156e-05,0.001647446457990061,0.16474464579900608,0.590534351144888,0.42357130449850305,0.00045173008516468115,0.000851439769237963,500.0,500.0,73.96449704142012,289500.0,291800.0,1.0383824537354318,14259.259259259261,0.5776908808869582,006400,-0.41526353,0.40562186,-0.08781328,-0.27709436,0.058397133,0.14060675,0.16489297,-0.0862793,0.3842122,0.27723527,-0.08298942,-0.02597115,-0.23082747,-0.3142496,0.36810675,-0.033816375,0.8354,72.12
2.66,0.0,0.0,0.0,0.0004719207173194792,0.0001769180869257492,9.462780910407531e-06,0.0011792452830188401,0.11792452830188402,0.23782858920479416,0.5156203804074941,0.0008343446621141013,0.0005562297941031516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,009540,-0.23970191,0.45433223,-0.039428927,-0.379245,-0.025312724,0.083774254,0.26058176,-0.005073222,0.41151607,0.16193497,-0.011936361,-0.081434526,-0.21271516,-0.33004412,0.3860646,-0.09793394,0.3884,70.62
0.72,0.0,0.0,0.0,0.0,-0.0005392773683262486,7.695036051691417e-06,0.0017985611510784897,0.17985611510784896,0.4084852663813494,0.49041173152779133,0.0,0.0007332708650946567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,009830,-0.32142252,0.4436928,-0.13935196,-0.36226517,-0.03678339,0.12365258,0.2581966,-0.003957202,0.4214492,0.2011793,-0.046093524,-0.055743985,-0.119341135,-0.29729193,0.36649197,-0.07469629,0.5903,80.67
-1.14,0.0,0.0007674597083653367,0.0007674597083653367,0.0001533977603926971,0.000767459708365305,6.21469325055024e-05,0.0007668711656441659,0.0766871165644166,0.8899876390495675,0.4902940611176431,0.000343218415579405,0.0005660865392427202,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,010130,-0.33046925,0.32794148,-0.19041137,-0.037845053,-0.075101934,0.005457541,0.20175491,-0.026223948,-0.31935197,0.46907747,0.27987203,-0.37246573,0.1531296,-0.29032463,-0.010015744,-0.22710603,0.0538,50.0
0.82,0.0,0.0,0.0,0.0008103727714745501,0.0008103727714745501,-7.133089817923377e-06,0.002024291497974889,0.20242914979748888,0.46268822862693365,0.43534508694841123,0.0014328424008121184,0.0016545037217930007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,010140,0.06174807,0.3984998,0.10104685,-0.34286958,-0.23957375,-0.04097425,0.27487704,0.16903688,0.3602664,5.0152343e-05,0.07635825,-0.1592378,-0.26445544,-0.31243798,0.38692284,-0.26108843,0.4333,42.22
9.07,0.0,0.0,0.0,0.0,0.00018487705675724957,0.00014656398291212902,0.0018484288354897653,0.18484288354897654,0.26965943204158943,0.7677753003837583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,011070,-0.23234099,0.468461,-0.14263113,-0.43612218,-0.08395066,0.09369181,0.32729736,-0.006668842,0.35151768,0.15311998,0.06241611,-0.049759366,-0.09797725,-0.31145188,0.34158805,-0.12788841,-0.3635,50.0
0.79,0.0,0.0,0.0,0.00031308703819660883,0.00023479690068090365,7.521858253611846e-05,0.001564945226917009,0.1564945226917009,0.21431545347296707,0.5667203188468102,0.0011074508142286086,0.0007383005880933022,0.0,0.0,90.82568807339449,297166.6666666667,296700.0,1.0262891809908965,8500.0,1.2885497752567423,012330,-0.63890916,0.13729136,-0.15006155,0.18816206,-0.078344196,-0.07740397,-0.041868296,-0.019692376,0.027690854,0.4676478,-0.36892873,0.13750592,-0.27021125,-0.20329997,0.08916012,-0.06309384,-0.1309,50.0
5.95,0.0,0.0011467889908256534,0.0011467889908256534,0.0002291475710357444,0.0008598452278589755,4.953290470899319e-06,0.0011454753722794828,0.11454753722794828,0.26721379885899676,0.6274296752381877,0.000959001549415766,0.0008457401005387962,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,012450,0.29185072,0.1070645,0.09948543,-0.45084637,-0.21517508,0.15737006,0.24159262,0.15771589,0.39650673,-0.45851198,0.27349895,-0.055324733,-0.044051252,-0.12999785,0.25812,0.07151404,0.1987,45.19
0.0,-0.0019607843137254832,-0.0019607843137254832,0.0,-0.000785237534353988,-0.000981354268890877,-2.4913425845207726e-05,0.0019646365422393,0.19646365422393,0.6518656795420906,0.47361995064281764,0.0016418914668592849,0.0013084739966950738,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015760,0.061866794,0.35146704,0.030225078,-0.43491638,0.005223103,0.21038584,0.24173453,-0.04183452,0.5016897,-0.11018825,0.043131698,-0.16265942,-0.27659643,-0.21422468,0.4043533,0.007118091,0.7749,66.46
